stp,n,posPC_n,posPC_%,posSGSS_n,posSGSS_%,admitted_n,admitted_%,coviddeath_n,coviddeath_%,death_n,death_%
E54000005,94227,7,7.428868583314762e-5,151,0.0016025130801150414,-,-,-,-,-,-
E54000006,52290,-,-,134,0.002562631478294129,-,-,-,-,-,-
E54000007,4585,-,-,-,-,-,-,-,-,-,-
E54000008,6604,-,-,13,0.001968503937007874,-,-,-,-,-,-
E54000009,59260,9,1.5187310158623017e-4,106,0.0017887276409044887,-,-,-,-,-,-
E54000010,3524,-,-,16,0.004540295119182747,-,-,-,-,-,-
E54000012,30653,-,-,121,0.003947411346360878,-,-,-,-,-,-
E54000013,27655,24,8.67835834387995e-4,102,0.0036883022961489787,-,-,-,-,-,-
E54000014,28299,-,-,128,0.00452312802572529,-,-,-,-,-,-
E54000015,33612,-,-,111,0.003302392002856123,-,-,-,-,-,-
E54000016,9712,-,-,36,0.0037067545304777594,-,-,-,-,-,-
E54000017,26473,-,-,114,0.004306274317228875,-,-,-,-,-,-
E54000020,33610,-,-,85,0.0025290092234454033,-,-,-,-,-,-
E54000021,19756,-,-,84,0.004251872848754809,-,-,-,-,-,-
E54000022,34361,11,3.201303803730974e-4,180,0.005238497133377958,-,-,-,-,-,-
E54000023,17905,-,-,129,0.007204691426975705,-,-,-,-,-,-
E54000024,29476,-,-,150,0.005088885873252816,-,-,-,-,-,-
E54000025,35871,8,2.2302138217501603e-4,185,0.005157369462797246,-,-,-,-,-,-
E54000026,39644,17,4.288164665523156e-4,251,0.006331349006154777,-,-,-,-,-,-
E54000027,31107,-,-,157,0.00504709550904941,-,-,-,-,-,-
E54000029,2320,-,-,13,0.005603448275862069,-,-,-,-,-,-
E54000033,36136,10,2.767323444764224e-4,210,0.00581137923400487,-,-,-,-,-,-
E54000035,2110,-,-,-,-,-,-,-,-,-,-
E54000036,11872,-,-,38,0.003200808625336927,-,-,-,-,-,-
E54000037,41896,11,2.6255489784227613e-4,148,0.0035325568073324423,-,-,-,-,-,-
E54000040,34717,-,-,131,0.003773367514474177,-,-,-,-,-,-
E54000041,37390,6,1.6047071409467772e-4,179,0.004787376303824552,-,-,-,-,-,-
E54000042,40251,16,3.9750565203348985e-4,296,0.007353854562619562,-,-,-,-,-,-
E54000043,39346,8,2.0332435317440146e-4,108,0.00274487876785442,-,-,-,-,-,-
E54000044,365,-,-,-,-,-,-,-,-,-,-
E54000049,96477,27,2.7985944836593176e-4,344,0.003565616675477057,-,-,-,-,-,-
(missing),76,-,-,-,-,-,-,-,-,-,-
