.level,n,pct,pct_nonmiss,redacted
E54000005,426450,0.09236261156285899,0.09237441563353319,FALSE
E54000006,218772,0.04738270197404101,0.04738875754948838,FALSE
E54000007,46362,0.010041307063611839,0.010042590356669868,FALSE
E54000008,33197,0.007189967442964545,0.007190886330839257,FALSE
E54000009,216204,0.04682651206550912,0.04683249655910988,FALSE
E54000010,15127,0.00327627910683871,0.003276697819881478,FALSE
E54000012,192547,0.041702764142557885,0.041708093814022545,FALSE
E54000013,148808,0.03222955915452203,0.032233678137166856,FALSE
E54000014,174798,0.03785859954499854,0.03786343792686208,FALSE
E54000015,187510,0.0406118262261735,0.04061701647424975,FALSE
E54000016,49766,0.01077856191121407,0.010779939426470658,FALSE
E54000017,98681,0.021372810110527583,0.02137554158549112,FALSE
E54000020,104694,0.02267513484573094,0.022678032759613373,FALSE
E54000021,161385,0.03495354688022511,0.034958013992303326,FALSE
E54000022,217743,0.04715983615788863,0.04716586325077363,FALSE
E54000023,168252,0.036440835081895065,0.036445492271481354,FALSE
E54000024,155750,0.033733091220343035,0.033737402356484446,FALSE
E54000025,150584,0.03261421385761885,0.03261838199967162,FALSE
E54000026,226445,0.04904455756912089,0.049050825532032875,FALSE
E54000027,177275,0.038395080231693815,0.03839998717653792,FALSE
E54000029,12199,0.002642118650381796,0.00264245631683309,FALSE
E54000033,188318,0.04078682678929412,0.0407920394026866,FALSE
E54000035,9428,0.0020419620162144088,0.002042222981810179,FALSE
E54000036,63095,0.013665421448138324,0.013667167908073105,FALSE
E54000037,194473,0.0421199065739568,0.042125289556806424,FALSE
E54000040,182843,0.03960102470626762,0.039606085772498786,FALSE
E54000041,200276,0.043376748489537216,0.04338229209853791,FALSE
E54000042,131248,0.028426329094623323,0.028429962019158077,FALSE
E54000043,112375,0.024338723119653603,0.02434183364243942,FALSE
E54000044,4750,0.0010287780628997073,0.0010289095421720778,FALSE
E54000049,347183,0.07519457983404403,0.07520418980630074,FALSE
(missing),590,1.27785064654911e-4,0,FALSE
